episode,timestep,reward
1,20,36.784
3,40,38.984
5,60,39.454
7,80,40.004
9,100,39.654
11,120,37.76
13,140,41.126
15,160,35.096
17,180,42.039
19,200,38.809
21,220,38.81
23,240,37.746
25,260,35.813
27,280,35.915
29,300,41.167
31,320,39.61
33,340,38.979
35,360,37.084
37,380,37.15
39,400,40.565
41,420,43.488
43,440,40.731
45,460,38.894
47,480,35.686
49,500,38.597
51,520,37.741
53,540,39.756
55,560,37.617
57,580,38.144
59,600,40.576
61,620,41.691
63,640,40.28
65,660,42.756
67,680,40.77
69,700,39.502
71,720,41.529
73,740,39.238
75,760,42.16
77,780,42.201
79,800,36.521
81,820,42.162
83,840,37.327
85,860,40.247
87,880,38.112
89,900,39.858
91,920,39.18
93,940,41.024
95,960,39.093
97,980,39.258
99,1000,40.973
101,1020,40.55
103,1040,40.307
105,1060,36.567
107,1080,39.563
109,1100,38.086
111,1120,37.524
113,1140,40.944
115,1160,36.662
117,1180,40.547
119,1200,37.351
121,1220,37.096
123,1240,37.477
125,1260,39.393
127,1280,34.903
129,1300,40.0
131,1320,39.603
133,1340,40.405
135,1360,43.743
137,1380,39.584
139,1400,41.866
141,1420,39.456
143,1440,38.189
145,1460,40.459
147,1480,39.307
149,1500,35.974
151,1520,38.73
153,1540,39.575
155,1560,40.228
157,1580,43.262
159,1600,38.31
161,1620,39.081
163,1640,38.575
165,1660,41.99
167,1680,32.767
169,1700,41.064
171,1720,37.403
173,1740,39.162
175,1760,40.434
177,1780,39.951
179,1800,42.067
181,1820,43.562
183,1840,38.357
185,1860,40.486
187,1880,40.211
189,1900,38.699
191,1920,37.962
193,1940,40.635
195,1960,39.271
197,1980,39.2
199,2000,39.802
201,2020,36.85
203,2040,35.747
205,2060,41.227
207,2080,40.218
209,2100,40.629
211,2120,39.55
213,2140,40.369
215,2160,40.035
217,2180,36.981
219,2200,39.599
221,2220,38.416
223,2240,43.732
225,2260,39.915
227,2280,38.741
229,2300,40.553
231,2320,37.792
233,2340,43.682
235,2360,38.562
237,2380,44.91
239,2400,38.484
241,2420,39.749
243,2440,43.432
245,2460,39.575
247,2480,38.946
249,2500,39.634
251,2520,43.323
253,2540,35.445
255,2560,38.476
257,2580,40.215
259,2600,41.335
261,2620,40.897
263,2640,40.496
265,2660,40.709
267,2680,37.074
269,2700,44.212
271,2720,40.291
273,2740,41.148
275,2760,39.566
277,2780,38.674
279,2800,41.367
281,2820,37.025
283,2840,42.372
285,2860,36.678
287,2880,41.696
289,2900,38.529
291,2920,42.926
293,2940,38.663
295,2960,39.839
297,2980,40.464
299,3000,43.91
301,3020,41.209
303,3040,37.589
305,3060,39.473
307,3080,37.786
309,3100,41.817
311,3120,41.5
313,3140,41.872
315,3160,41.099
317,3180,39.031
319,3200,42.616
321,3220,43.131
323,3240,36.956
325,3260,39.342
327,3280,38.838
329,3300,40.464
331,3320,40.773
333,3340,39.423
335,3360,36.195
337,3380,40.328
339,3400,38.752
341,3420,39.69
343,3440,41.773
345,3460,39.448
347,3480,40.434
349,3500,42.121
351,3520,41.829
353,3540,39.174
355,3560,39.274
357,3580,39.607
359,3600,38.336
361,3620,38.044
363,3640,38.508
365,3660,40.914
367,3680,40.127
369,3700,39.076
371,3720,37.124
373,3740,43.117
375,3760,36.571
377,3780,40.639
379,3800,36.144
381,3820,40.495
